word,freq
양쪽,171
원주민,171
캠프,171
근본,171
리얼,171
사료,171
어워드,171
기압,171
양국,171
콘텐츠,171
고급,171
빌딩,171
판례,171
포맷,170
캠페인,170
후계자,170
분,170
고리,170
발간,170
강등,170
공중,170
박스,170
남우,170
하이,170
하원,169
유기,169
재능,169
낮,169
사무실,169
원자력,169
권위,169
소득,169
문과,169
패턴,169
혼합,169
혼인,169
타임,169
실업,169
선호,168
플레이스테이션,168
주력,168
성직자,168
점프,168
납치,168
피해자,168
시립,168
합리,168
태권도,168
간격,168
토요일,168
호조,168
경찰서,167
개장,167
본토,167
심,167
고통,167
흔적,167
발언,167
이중,167
루,167
암호,167
연계,167
국방,166
삼거리,166
멸종,166
줄기,166
농촌,166
탄소,166
프리미어리그,166
광물,166
왕족,166
종전,166
리더,166
운명,166
탈퇴,165
분노,165
스테이지,165
넓이,165
연인,165
대조,165
흑인,165
경연,165
진보,165
취항,165
뿌리,165
선로,164
회계,164
노,164
식당,164
라,164
천문학,164
단층,164
보전,164
소형,164
소화,164
삼각,164
화폐,164
주재,163
유발,163
총재,163
심리,163
토론,163
실내,163
반발,163
수반,163
대선,163
장편,163
거점,163
리눅스,163
공습,163
기상,163
프로필,163
선포,163
수업,163
경고,163
운항,163
기관차,162
생몰,162
언덕,162
유효,162
입사,162
규제,162
완벽,162
감옥,162
한자,162
텍스트,162
협의회,162
재학,161
서술,161
사위,161
느낌,161
우승자,161
문법,161
원본,161
파생,161
침해,161
초청,161
더빙,161
페스티벌,161
그해,161
학파,161
서방,160
허락,160
펜싱,160
회로,160
기온,160
세부,160
해병대,160
기종,160
수용소,159
고교,159
싱어송라이터,159
지휘자,159
동방,159
독점,159
추방,159
생물학,159
뉴,159
진영,158
살,158
학명,158
오염,158
선형,158
평면,158
출구,158
현존,158
음향,158
계곡,158
사양,158
건,158
시티,158
자랑,158
좌,157
궁전,157
장점,157
수장,157
아웃,157
주거,157
이온,157
락,157
영감,157
접속,157
당초,157
상처,157
산화,156
민법,156
고위,156
쌍둥이,156
평생,156
상인,156
최신,156
간부,156
임신,156
변수,156
실력,155
르네상스,155
며느리,155
약탈,155
년,155
유치,155
가게,155
칭호,155
크리스마스,155
관장,155
각지,155
학술지,155
번뇌,155
대안,155
설비,154
크로스,154
좌익,154
석방,154
패스,154
사찰,154
이벤트,154
포장,154
지수,154
제약,154
부회장,154
지불,154
차관,154
이웃,154
조부,154
부지,153
자책점,153
촉진,153
출현,153
병설,153
수산,153
여신,153
